,time,t2m,dep
0,2020-03-01,280.07706,01
1,2020-03-02,277.4524,01
2,2020-03-03,276.45303,01
3,2020-03-04,276.79865,01
4,2020-03-05,279.84982,01
5,2020-03-06,277.81076,01
6,2020-03-07,276.6638,01
7,2020-03-08,278.57837,01
8,2020-03-09,277.8222,01
9,2020-03-10,277.4115,01
10,2020-03-11,283.1324,01
11,2020-03-12,283.31885,01
12,2020-03-13,280.0333,01
13,2020-03-14,278.87668,01
14,2020-03-15,280.89987,01
15,2020-03-16,282.63034,01
16,2020-03-17,283.9456,01
17,2020-03-18,284.50998,01
18,2020-03-19,285.38248,01
19,2020-03-20,284.94818,01
20,2020-03-21,283.6029,01
21,2020-03-22,282.16266,01
22,2020-03-23,280.5759,01
23,2020-03-24,277.67706,01
24,2020-03-25,277.20935,01
25,2020-03-26,277.7252,01
26,2020-03-27,279.52985,01
27,2020-03-28,282.49136,01
28,2020-03-29,279.52393,01
29,2020-03-30,277.51517,01
30,2020-03-31,278.02533,01
31,2020-04-01,278.65524,01
32,2020-04-02,280.1378,01
33,2020-04-03,279.30423,01
34,2020-04-04,281.89926,01
35,2020-04-05,284.7266,01
36,2020-04-06,285.45233,01
37,2020-04-07,286.63266,01
38,2020-04-08,287.1574,01
39,2020-04-09,287.50616,01
40,2020-04-10,288.05804,01
41,2020-04-11,288.3098,01
42,2020-04-12,287.1099,01
43,2020-04-13,286.9399,01
44,2020-04-14,284.00848,01
45,2020-04-15,285.85605,01
46,2020-04-16,288.15024,01
47,2020-04-17,288.75345,01
48,2020-04-18,288.90018,01
49,2020-04-19,288.01535,01
50,2020-04-20,288.78806,01
51,2020-04-21,289.2077,01
52,2020-04-22,288.90277,01
53,2020-04-23,289.25296,01
54,2020-04-24,289.62775,01
55,2020-04-25,289.57236,01
56,2020-04-26,287.84125,01
57,2020-04-27,287.4604,01
58,2020-04-28,285.3393,01
59,2020-04-29,284.78717,01
60,2020-04-30,283.92886,01
61,2020-05-01,283.37756,01
62,2020-05-02,284.00742,01
63,2020-05-03,285.55872,01
64,2020-05-04,289.14273,01
65,2020-05-05,289.42996,01
66,2020-05-06,287.20273,01
67,2020-05-07,288.3011,01
68,2020-05-08,291.11874,01
69,2020-05-09,290.71344,01
70,2020-05-10,289.54633,01
71,2020-05-11,285.40268,01
72,2020-05-12,282.3806,01
73,2020-05-13,284.347,01
74,2020-05-14,285.04214,01
75,2020-05-15,283.91904,01
76,2020-05-16,286.30542,01
77,2020-05-17,287.14328,01
78,2020-05-18,288.59512,01
79,2020-05-19,290.2557,01
80,2020-05-20,291.2797,01
81,2020-05-21,291.9819,01
82,2020-05-22,293.34674,01
83,2020-05-23,287.32544,01
84,2020-05-24,286.1979,01
85,2020-05-25,288.34445,01
86,2020-05-26,289.44037,01
87,2020-05-27,289.503,01
88,2020-05-28,290.14102,01
89,2020-05-29,289.40976,01
90,2020-05-30,288.72842,01
91,2020-05-31,289.6172,01
92,2020-06-01,291.49954,01
93,2020-06-02,292.72998,01
94,2020-06-03,291.72858,01
95,2020-06-04,288.1314,01
96,2020-06-05,285.7313,01
97,2020-06-06,288.18558,01
98,2020-06-07,285.9522,01
99,2020-06-08,286.575,01
100,2020-06-09,285.2596,01
101,2020-06-10,286.08182,01
102,2020-06-11,288.11325,01
103,2020-06-12,290.12283,01
104,2020-06-13,288.75388,01
105,2020-06-14,288.42368,01
106,2020-06-15,288.96988,01
107,2020-06-16,289.01544,01
108,2020-06-17,287.92468,01
109,2020-06-18,288.21808,01
110,2020-06-19,288.25693,01
111,2020-06-20,289.38666,01
112,2020-06-21,290.9087,01
113,2020-06-22,291.37073,01
114,2020-06-23,293.5246,01
115,2020-06-24,295.72882,01
116,2020-06-25,296.64117,01
117,2020-06-26,296.0042,01
118,2020-06-27,295.69553,01
119,2020-06-28,293.2128,01
120,2020-06-29,291.38895,01
121,2020-06-30,292.38385,01
122,2020-07-01,294.90543,01
123,2020-07-02,292.2833,01
124,2020-07-03,289.8632,01
125,2020-07-04,291.7726,01
126,2020-07-05,293.84244,01
127,2020-07-06,291.06363,01
128,2020-07-07,290.62943,01
129,2020-07-08,293.3882,01
130,2020-07-09,297.30215,01
131,2020-07-10,295.81152,01
132,2020-07-11,292.16483,01
133,2020-07-12,292.97104,01
134,2020-07-13,293.7486,01
135,2020-07-14,293.9078,01
136,2020-07-15,291.35956,01
137,2020-07-16,290.25266,01
138,2020-07-17,290.7883,01
139,2020-07-18,293.02313,01
140,2020-07-19,294.63077,01
